Altium Designer Pick and Place Locations
C:\Users\uqurk\Desktop\Projects\Various-Altium-Projects\Wireless Security Detection\Project Outputs for Wireless_Security_Detection\Pick Place\Pick Place for WSD_PCB.csv

========================================================================================================================
File Design Information:

Date:       28/07/24
Time:       15:40
Revision:   42c43ddf909555b5d87501356d43956982b4e8db
Variant:    No variations
Units used: mil

"Designator","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"U6","1787.047","839.173","TopLayer","270"
"R40","1148.110","1572.044","TopLayer","180"
"R39","1148.110","1502.044","TopLayer","180"
"R38","1148.110","1432.044","TopLayer","180"
"D11","986.299","1572.044","TopLayer","0"
"D10","986.299","1502.044","TopLayer","0"
"D9","986.299","1432.044","TopLayer","0"
"U5","1210.158","464.724","TopLayer","180"
"X2","1734.173","1505.827","TopLayer","90"
"X1","1064.173","1079.173","TopLayer","270"
"USB1","2421.516","1191.417","TopLayer","90"
"U9","3387.391","507.176","BottomLayer","0"
"U8","2900.000","485.276","BottomLayer","270"
"U7","1924.173","1404.173","TopLayer","270"
"U4","1434.173","1064.148","TopLayer","270"
"U3","2186.929","1184.173","TopLayer","90"
"U2","674.488","1464.173","TopLayer","0"
"U1","384.016","1099.488","TopLayer","0"
"T1","1364.173","3114.173","TopLayer","180"
"SW1","2460.394","1683.228","TopLayer","90"
"S1","3115.751","800.725","TopLayer","0"
"RT1","3187.391","477.176","BottomLayer","90"
"RL2","1834.173","2274.173","TopLayer","180"
"RL1","1214.173","1844.173","TopLayer","180"
"R37","3245.895","607.176","BottomLayer","180"
"R36","3544.596","797.176","BottomLayer","0"
"R35","3544.596","737.176","BottomLayer","180"
"R34","3544.596","857.176","BottomLayer","0"
"R33","3027.391","225.680","BottomLayer","90"
"R32","3036.515","650.247","BottomLayer","180"
"R31","2955.895","977.176","BottomLayer","180"
"R30","3119.491","246.690","TopLayer","0"
"R29","2887.391","225.680","BottomLayer","90"
"R28","2905.019","650.247","BottomLayer","180"
"R27","2827.391","225.680","BottomLayer","90"
"R26","2775.019","770.247","BottomLayer","0"
"R25","3120.000","460.000","TopLayer","180"
"R24","2775.895","317.176","BottomLayer","180"
"R23","2775.019","710.247","BottomLayer","180"
"R22","2004.173","802.677","TopLayer","270"
"R21","1682.677","634.173","TopLayer","0"
"R20","1682.677","694.173","TopLayer","0"
"R19","1682.677","574.173","TopLayer","0"
"R18","1682.677","394.173","TopLayer","180"
"R17","1924.173","654.173","TopLayer","270"
"R16","2324.173","1655.669","TopLayer","90"
"R15","1810.000","220.000","TopLayer","90"
"R14","2274.173","1512.677","TopLayer","270"
"R13","1102.834","1354.894","TopLayer","0"
"R12","1714.173","1034.173","TopLayer","180"
"R11","2024.173","1224.173","TopLayer","0"
"R10","1444.173","1374.173","TopLayer","270"
"R9","2024.173","1144.173","TopLayer","0"
"R8","1504.173","1374.173","TopLayer","270"
"R7","1384.173","1374.173","TopLayer","270"
"R6","1682.677","464.173","TopLayer","180"
"R5","2264.173","1812.677","TopLayer","270"
"R4","1424.173","1504.173","TopLayer","180"
"R3","2264.173","1685.669","TopLayer","90"
"R2","1294.173","1504.173","TopLayer","0"
"R1","1404.173","3884.173","TopLayer","0"
"Q5","3119.491","356.299","TopLayer","0"
"Q4","1684.173","291.378","TopLayer","180"
"Q3","1824.173","644.173","TopLayer","180"
"Q2","2304.173","1974.173","TopLayer","0"
"Q1","1614.173","1404.173","TopLayer","0"
"L1","139.016","1084.488","TopLayer","270"
"J8","3620.000","360.472","BottomLayer","90"
"J7","345.591","104.173","TopLayer","180"
"J6","2104.173","724.173","TopLayer","270"
"J5","413.189","559.764","TopLayer","0"
"J4","403.189","1979.764","TopLayer","0"
"J3","2150.000","3320.000","TopLayer","90"
"J2","2150.000","2810.000","TopLayer","90"
"J1","404.173","3544.173","TopLayer","270"
"F1","754.173","2434.173","TopLayer","90"
"D8","2957.391","227.176","BottomLayer","90"
"D7","3120.000","530.000","TopLayer","0"
"D6","1734.173","1384.173","TopLayer","90"
"D5","2184.173","1044.173","TopLayer","180"
"D4","191.393","1342.634","TopLayer","270"
"D3","674.173","2409.055","TopLayer","270"
"D2","2009.055","2004.173","TopLayer","180"
"D1","1604.173","1504.173","TopLayer","180"
"C47","3367.391","617.176","BottomLayer","0"
"C46","3544.596","667.176","BottomLayer","180"
"C45","3397.391","407.176","BottomLayer","0"
"C44","3340.000","227.401","BottomLayer","270"
"C43","3420.000","227.401","BottomLayer","270"
"C42","3500.000","227.401","BottomLayer","270"
"C41","3037.391","707.176","BottomLayer","180"
"C40","2677.391","349.774","BottomLayer","90"
"C39","2687.391","498.672","BottomLayer","270"
"C38","2937.391","847.176","BottomLayer","270"
"C37","3165.895","667.176","BottomLayer","180"
"C36","2905.019","720.247","BottomLayer","180"
"C35","2767.391","227.176","BottomLayer","90"
"C34","2785.019","840.247","BottomLayer","180"
"C33","2776.515","650.247","BottomLayer","180"
"C32","1884.173","974.173","TopLayer","0"
"C31","2004.173","941.575","TopLayer","90"
"C30","2005.748","1734.173","TopLayer","0"
"C29","2114.173","1444.173","TopLayer","90"
"C28","2184.173","1441.575","TopLayer","90"
"C27","1894.173","524.173","TopLayer","0"
"C26","1644.173","94.173","TopLayer","90"
"C25","1784.173","96.772","TopLayer","90"
"C24","1714.173","96.772","TopLayer","90"
"C23","1106.772","1284.173","TopLayer","0"
"C22","1012.677","930.310","TopLayer","0"
"C21","1022.677","1214.173","TopLayer","0"
"C20","1294.173","1304.173","TopLayer","180"
"C19","1664.173","1195.669","TopLayer","90"
"C18","1204.173","1225.669","TopLayer","270"
"C17","1594.173","864.173","TopLayer","90"
"C16","1724.173","1201.575","TopLayer","90"
"C15","1284.173","1364.173","TopLayer","180"
"C14","844.173","1441.575","TopLayer","270"
"C13","884.173","1281.575","TopLayer","90"
"C12","499.488","1519.173","TopLayer","270"
"C11","499.488","1381.772","TopLayer","90"
"C10","2485.748","345.197","TopLayer","90"
"C9","2405.748","345.197","TopLayer","90"
"C8","2325.748","345.197","TopLayer","90"
"C7","2034.173","1054.173","TopLayer","0"
"C6","674.173","1084.173","TopLayer","270"
"C5","384.016","1294.488","TopLayer","180"
"C4","384.016","1364.488","TopLayer","180"
"C3","249.016","1084.488","TopLayer","90"
"C2","375.748","3044.173","TopLayer","180"
"C1","374.173","2594.173","TopLayer","180"
"BZ1","2064.173","232.598","TopLayer","0"
"BR1","984.173","2338.602","TopLayer","180"
